[2025-02-08 10:57:07] AutoML.__init__() - task_type: classification, n_population: 30, n_generation: 5, n_parent: 5, prob_mutations: [0.2, 0.5], use_joblib: True, n_jobs: -1
[2025-02-08 10:57:07] AutoML.fit() - use_kfold: True, kfold: 5, valid_size: 0.2000, seed: 42, max_n_try: 1000, timeout: 30, task_type: classification
[2025-02-08 10:57:34] 1 - best f1: 0.426
[2025-02-08 10:57:34] 
(PolynomialFeatures) - (passthrough) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4264, accuracy:0.8520
(StandardScaler) - (VarianceThreshold) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4241, accuracy:0.8546
(passthrough) - (passthrough) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4241, accuracy:0.8546
(PolynomialFeatures) - (SelectPercentile) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.4041, accuracy:0.8299
(PolynomialFeatures) - (SelectPercentile) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3996, accuracy:0.8163
(PolynomialFeatures) - (SelectPercentile) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3996, accuracy:0.8163
(PolynomialFeatures) - (SelectPercentile) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.3873, accuracy:0.8257
(PolynomialFeatures) - (SelectKBest) - (KNeighborsClassifier: n_neighbors: 5) - f1:0.3861, accuracy:0.7092
(RobustScaler) - (passthrough) - (GradientBoostingClassifier: max_depth: 6, n_estimators: 100, learning_rate: 0.1000) - f1:0.3832, accuracy:0.8478
(RobustScaler) - (SelectKBest) - (KNeighborsClassifier: n_neighbors: 5) - f1:0.3791, accuracy:0.7355
(RobustScaler) - (SelectKBest) - (LogisticRegression: C: 1.0000, class_weight: {0: 1, 1: 2}) - f1:0.3705, accuracy:0.6573
(passthrough) - (passthrough) - (GradientBoostingClassifier: max_depth: 6, n_estimators: 100, learning_rate: 0.1000) - f1:0.3640, accuracy:0.8384
(RobustScaler) - (VarianceThreshold) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.3594, accuracy:0.8537
(PolynomialFeatures) - (SelectPercentile) - (GradientBoostingClassifier: max_depth: 6, n_estimators: 100, learning_rate: 0.1000) - f1:0.3518, accuracy:0.8035
(passthrough) - (SelectKBest) - (LogisticRegression: C: 1.0000, class_weight: {0: 1, 1: 2}) - f1:0.3486, accuracy:0.6164
(StandardScaler) - (SelectKBest) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.3449, accuracy:0.7831
(PolynomialFeatures) - (SelectKBest) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3421, accuracy:0.6471
(StandardScaler) - (SelectKBest) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3404, accuracy:0.7755
(RobustScaler) - (SelectKBest) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3404, accuracy:0.7755
(StandardScaler) - (SelectKBest) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3404, accuracy:0.7755
(PolynomialFeatures) - (VarianceThreshold) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3397, accuracy:0.6973
(passthrough) - (VarianceThreshold) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3240, accuracy:0.6743
(RobustScaler) - (VarianceThreshold) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3236, accuracy:0.6735
(passthrough) - (SelectKBest) - (GradientBoostingClassifier: max_depth: 6, n_estimators: 100, learning_rate: 0.1000) - f1:0.3212, accuracy:0.7585
(RobustScaler) - (SelectKBest) - (GradientBoostingClassifier: max_depth: 6, n_estimators: 100, learning_rate: 0.1000) - f1:0.3207, accuracy:0.7653
(StandardScaler) - (passthrough) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3206, accuracy:0.6692
(RobustScaler) - (VarianceThreshold) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3204, accuracy:0.6692
(passthrough) - (VarianceThreshold) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3198, accuracy:0.6718
(RobustScaler) - (SelectPercentile) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.3121, accuracy:0.6496
(RobustScaler) - (passthrough) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.2848, accuracy:0.8427
[2025-02-08 10:58:09] 2 - best f1: 0.455
[2025-02-08 10:58:09] 
(PolynomialFeatures) - (VarianceThreshold) - (XGBClassifier: n_estimators: 150, learning_rate: 0.1443, scale_pos_weight: 1) - f1:0.4552, accuracy:0.8588
(PolynomialFeatures) - (VarianceThreshold) - (XGBClassifier: n_estimators: 344, learning_rate: 0.1451, scale_pos_weight: 1) - f1:0.4420, accuracy:0.8529
(PolynomialFeatures) - (VarianceThreshold) - (XGBClassifier: n_estimators: 82, learning_rate: 0.1681, scale_pos_weight: 1) - f1:0.4314, accuracy:0.8512
(PolynomialFeatures) - (passthrough) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4264, accuracy:0.8520
(StandardScaler) - (VarianceThreshold) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4241, accuracy:0.8546
(passthrough) - (passthrough) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4241, accuracy:0.8546
(PolynomialFeatures) - (passthrough) - (XGBClassifier: n_estimators: 135, learning_rate: 0.1598, scale_pos_weight: 1) - f1:0.4192, accuracy:0.8495
(StandardScaler) - (VarianceThreshold) - (XGBClassifier: n_estimators: 97, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4163, accuracy:0.8529
(passthrough) - (passthrough) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1135, scale_pos_weight: 1) - f1:0.4126, accuracy:0.8537
(StandardScaler) - (VarianceThreshold) - (XGBClassifier: n_estimators: 71, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4057, accuracy:0.8512
(PolynomialFeatures) - (SelectPercentile) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.4041, accuracy:0.8299
(PolynomialFeatures) - (SelectPercentile) - (XGBClassifier: n_estimators: 82, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.4032, accuracy:0.8163
(PolynomialFeatures) - (SelectPercentile) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3996, accuracy:0.8163
(PolynomialFeatures) - (passthrough) - (XGBClassifier: n_estimators: 100, learning_rate: 0.0877, scale_pos_weight: 1) - f1:0.3955, accuracy:0.8444
(PolynomialFeatures) - (SelectPercentile) - (XGBClassifier: n_estimators: 186, learning_rate: 0.1451, scale_pos_weight: 1) - f1:0.3891, accuracy:0.8155
(PolynomialFeatures) - (SelectPercentile) - (XGBClassifier: n_estimators: 106, learning_rate: 0.1930, scale_pos_weight: 1) - f1:0.3855, accuracy:0.8155
(passthrough) - (VarianceThreshold) - (XGBClassifier: n_estimators: 61, learning_rate: 0.1000, scale_pos_weight: 1) - f1:0.3847, accuracy:0.8486
(PolynomialFeatures) - (SelectPercentile) - (RandomForestClassifier: n_estimators: 74, class_weight: {0: 1, 1: 2}) - f1:0.3762, accuracy:0.8274
(PolynomialFeatures) - (SelectKBest) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.3584, accuracy:0.7585
(StandardScaler) - (VarianceThreshold) - (GradientBoostingClassifier: max_depth: 8, n_estimators: 167, learning_rate: 0.1976) - f1:0.3555, accuracy:0.8478
(PolynomialFeatures) - (SelectPercentile) - (LogisticRegression: C: 0.5049, class_weight: {0: 1, 1: 2}) - f1:0.3470, accuracy:0.5731
(passthrough) - (SelectPercentile) - (XGBClassifier: n_estimators: 100, learning_rate: 0.1041, scale_pos_weight: 1) - f1:0.3359, accuracy:0.7134
(StandardScaler) - (SelectPercentile) - (XGBClassifier: n_estimators: 150, learning_rate: 0.1392, scale_pos_weight: 1) - f1:0.3271, accuracy:0.7083
(StandardScaler) - (VarianceThreshold) - (DecisionTreeClassifier: max_depth: 6, class_weight: {0: 1, 1: 2}) - f1:0.3236, accuracy:0.6701
(StandardScaler) - (SelectPercentile) - (RandomForestClassifier: n_estimators: 100, class_weight: {0: 1, 1: 2}) - f1:0.3072, accuracy:0.6454
(passthrough) - (VarianceThreshold) - (KNeighborsClassifier: n_neighbors: 9) - f1:0.2745, accuracy:0.5876
