Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price,Split
Brighton,18 Rooding St,3,h,S,Buxton,3/09/2016,11.2,3186.0,3.0,1.0,2.0,366.0,156.0,1920.0,Bayside,-37.9038,145.0001,Southern Metropolitan,10579.0,1635000.0,Train
Coburg,11 Station St,3,h,S,Brad,23/04/2016,7.8,3058.0,3.0,1.0,0.0,238.0,131.0,1900.0,Moreland,-37.7539,144.9612,Northern Metropolitan,11204.0,725000.0,Train
Brunswick,106 Evans St,3,h,S,Ray,27/05/2017,5.2,3056.0,3.0,1.0,1.0,439.0,,,Moreland,-37.77047,144.97005,Northern Metropolitan,11918.0,1280000.0,Train
Carnegie,4/5 Anzac St,2,u,S,hockingstuart,4/06/2016,11.4,3163.0,2.0,1.0,2.0,0.0,100.0,1973.0,Glen Eira,-37.8863,145.066,Southern Metropolitan,7822.0,772000.0,Train
Altona,64 Queen St,4,h,S,Greg,22/07/2017,11.0,3018.0,4.0,2.0,4.0,615.0,,,Hobsons Bay,-37.87057,144.83623,Western Metropolitan,5301.0,1360000.0,Train
Maidstone,43 Omar St,3,h,S,hockingstuart,17/09/2016,9.2,3012.0,3.0,1.0,3.0,667.0,,,Maribyrnong,-37.7784,144.8708,Western Metropolitan,3873.0,915000.0,Train
Hawthorn,6/15 Shakespeare Gr,2,u,S,Jellis,3/06/2017,5.3,3122.0,2.0,1.0,1.0,0.0,84.0,1965.0,Boroondara,-37.82258,145.0193,Southern Metropolitan,11308.0,805000.0,Train
Balwyn,87 Yerrin St,3,h,S,Jellis,17/09/2016,9.7,3103.0,3.0,1.0,2.0,697.0,,,Boroondara,-37.8044,145.0853,Southern Metropolitan,5682.0,1910000.0,Train
Balwyn North,1A Kawarren St,3,h,S,Fletchers,12/08/2017,9.7,3104.0,3.0,2.0,2.0,424.0,,,Boroondara,-37.78617,145.09202,Southern Metropolitan,7809.0,1360000.0,Train
Ivanhoe,3/123 Waterdale Rd,3,t,S,Miles,4/03/2017,7.9,3079.0,3.0,2.0,1.0,108.0,,,Banyule,-37.7668,145.0434,Eastern Metropolitan,5549.0,962000.0,Train
Ivanhoe East,13 York Av,4,h,VB,Miles,23/09/2017,7.8,3079.0,4.0,2.0,2.0,585.0,,,,-37.7709,145.05676,Eastern Metropolitan,1554.0,2040000.0,Train
Sunshine,75 Duke St,3,h,SP,S&L,12/08/2017,10.5,3020.0,3.0,2.0,1.0,485.0,130.0,1950.0,Brimbank,-37.78703,144.84569,Western Metropolitan,3755.0,700000.0,Train
Carnegie,1/177 Oakleigh Rd,2,u,S,hockingstuart,4/03/2017,11.4,3163.0,2.0,1.0,1.0,898.0,,1970.0,Glen Eira,-37.9003,145.0634,Southern Metropolitan,7822.0,586000.0,Train
Thornbury,1/219 Raleigh St,1,u,SP,Harcourts,14/05/2016,6.5,3071.0,1.0,1.0,1.0,612.0,48.0,1975.0,Darebin,-37.7603,145.0165,Northern Metropolitan,8870.0,332000.0,Train
Bentleigh East,2/1 Mervin St,3,t,S,Buxton,18/03/2017,13.9,3165.0,3.0,2.0,2.0,518.0,,,Glen Eira,-37.9316,145.0542,Southern Metropolitan,10969.0,1240000.0,Train
Glen Iris,27 Celia St,3,h,S,Fletchers,17/09/2016,9.2,3146.0,3.0,1.0,2.0,652.0,,,Boroondara,-37.8552,145.0785,Southern Metropolitan,10412.0,1825000.0,Train
Mill Park,5 Peyton Dr,4,h,S,HAR,29/07/2017,17.9,3082.0,4.0,2.0,2.0,674.0,,,Whittlesea,-37.65639,145.06518,Northern Metropolitan,10529.0,800000.0,Train
Avondale Heights,235 Military Rd,3,h,S,Barry,28/08/2016,10.5,3034.0,3.0,2.0,3.0,638.0,,,Moonee Valley,-37.7546,144.8585,Western Metropolitan,4502.0,863000.0,Train
Ascot Vale,17 Ascot St,2,h,PI,Nelson,27/06/2016,5.9,3032.0,2.0,1.0,3.0,252.0,108.0,1910.0,Moonee Valley,-37.7825,144.9206,Western Metropolitan,6567.0,705000.0,Train
Reservoir,11 Carrington Rd,3,h,S,Barry,28/05/2016,11.2,3073.0,3.0,1.0,1.0,467.0,,,Darebin,-37.7219,144.9892,Northern Metropolitan,21650.0,665000.0,Train
Heidelberg West,581 Waterdale Rd,2,h,S,Ray,27/05/2017,8.8,3081.0,2.0,2.0,1.0,220.0,,,Banyule,-37.73549000000001,145.0487,Eastern Metropolitan,2674.0,532000.0,Train
Hadfield,5A Neil St,3,t,S,Eview,29/04/2017,12.1,3046.0,3.0,2.0,1.0,240.0,,,Moreland,-37.7114,144.9396,Northern Metropolitan,2606.0,630000.0,Train
Northcote,3 Atkinson St,3,h,S,Harrington,28/08/2016,5.5,3070.0,2.0,1.0,1.0,348.0,130.0,1910.0,Darebin,-37.7799,145.011,Northern Metropolitan,11364.0,1080000.0,Train
